category	keys	action	risk	lesson_id
文件资源管理器	Alt + Up	在文件夹路径中向上一级	normal	
文件资源管理器	Ctrl + 箭头后按 Space	选择多个不连续项目	context	
文件资源管理器	Ctrl + D / Delete	把所选项目移到回收站	caution	
文件资源管理器	Ctrl + E / Ctrl + F	选择搜索框	normal	
文件资源管理器	Ctrl + L	聚焦地址栏	normal	
文件资源管理器	Ctrl + 拖动文件	在放下位置复制文件	context	
文件资源管理器	Ctrl + 鼠标滚轮	更改文件和文件夹图标大小	context	
文件资源管理器	Ctrl + N	打开新的资源管理器窗口	normal	
文件资源管理器	Ctrl + 数字 1-9	切换到指定编号的选项卡	context	
文件资源管理器	Ctrl + 小键盘加号	调整所有列宽以适应文本	context	
文件资源管理器	Ctrl + Shift + E	展开导航窗格中的全部文件夹树	normal	
文件资源管理器	Ctrl + Shift + N	新建文件夹	normal	
文件资源管理器	Ctrl + Shift + 数字 1-9	切换资源管理器视图样式	context	
文件资源管理器	Ctrl + Shift + Tab	切换到上一个选项卡	normal	
文件资源管理器	Ctrl + T	打开并切换到新选项卡	normal	
文件资源管理器	Ctrl + W	关闭当前选项卡或窗口	caution	
文件资源管理器	Ctrl + Tab	切换到下一个选项卡	normal	
文件资源管理器	End	滚动到活动窗口底部	normal	
文件资源管理器	F2	重命名所选项目	normal	
文件资源管理器	F3	搜索文件或文件夹	normal	
文件资源管理器	F4	选择地址栏并更改路径	normal	
文件资源管理器	F5	刷新窗口	normal	
文件资源管理器	F6	循环浏览窗口中的元素	normal	
文件资源管理器	F11	最大化或还原资源管理器窗口	normal	
文件资源管理器	Home	滚动到活动窗口顶部	normal	
文件资源管理器	Left	折叠目录树选择项或选择其父文件夹	context	
文件资源管理器	Right	展开目录树选择项或选择首个子文件夹	context	
文件资源管理器	Shift + 箭头	选择多个项目	context	
文件资源管理器	Shift + Delete	永久删除所选项目，不经过回收站	caution	
文件资源管理器	Shift + F10	显示所选项目的上下文菜单	normal	
文件资源管理器	Shift + 拖动文件	把文件移动到放下位置	caution	
文件资源管理器	Shift + 鼠标右键	显示更多选项上下文菜单	context	
虚拟桌面	Win + Tab	打开任务视图	normal	
虚拟桌面	Win + Ctrl + D	创建新的虚拟桌面	normal	
虚拟桌面	Win + Ctrl + Right	切换到右侧虚拟桌面	context	
虚拟桌面	Win + Ctrl + Left	切换到左侧虚拟桌面	context	
虚拟桌面	Win + Ctrl + F4	关闭当前虚拟桌面	caution	
任务栏	Alt + Shift + 箭头	移动当前聚焦的任务栏应用图标	context	
任务栏	Ctrl + 单击分组应用	在同一应用的窗口组中循环切换	context	
任务栏	Ctrl + Shift + 单击应用	以管理员身份打开任务栏应用	caution	
任务栏	Shift + 右键单击应用	显示应用窗口菜单	context	
任务栏	Shift + 右键单击分组按钮	显示应用组窗口菜单	context	
任务栏	Shift + 单击应用	打开任务栏应用的新实例	context	
任务栏	Win + Alt + Enter（任务栏项聚焦）	打开任务栏设置	context	
任务栏	Win + Alt + 数字 0-9	打开对应固定应用的跳转列表	context	
任务栏	Win + B	聚焦任务栏通知区域的第一个图标	normal	
任务栏	Win + Ctrl + 数字 0-9	切换到对应应用最后活动的窗口	context	
任务栏	Win + Ctrl + Shift + 数字 0-9	以管理员身份打开对应应用的新实例	caution	
任务栏	Win + 数字 0-9	打开或切换到对应位置的固定应用	context	
任务栏	Win + Shift + 数字 0-9	打开对应固定应用的新实例	context	
任务栏	Win + T	向前循环浏览任务栏应用	normal	
任务栏	Win + Shift + T	向后循环浏览任务栏应用	normal	
设置	箭头键	在当前区域移动焦点并滚动页面	context	
设置	Backspace	返回上一个设置页面	context	
设置	Enter / Space	选择当前聚焦的设置项	context	
设置	Shift + Tab	向后浏览设置区域	context	
设置	Tab	向前浏览设置区域	context	
设置	Win + I	打开 Windows 设置	normal	settings
